Soils_Code	Soil_Component	Soil_Component_Fraction	Soil_Horizon	Soil_Top_Depth	Soil_Bottom_Depth	Available_Water_Content	Hydrologic_Soil_Group_HWB
147	1	0.55	2	4	8	0.14	4
147	1	0.55	3	8	20	0	4
147	2	0.45	1	0	60	0	4
148	1	1	1	0	8	0.15	3
148	1	1	2	8	30	0.15	3
148	1	1	3	30	60	0	3
149	1	1	1	0	8	0.09	3
149	1	1	2	8	18	0.15	3
149	1	1	3	18	60	0	3
150	1	1	1	0	5	0.15	4
150	1	1	2	5	25	0.12	4
150	1	1	3	25	29	0	4
151	1	1	1	0	10	0.06	2
151	1	1	2	10	60	0.06	2
152	1	1	1	0	10	0.15	3
152	1	1	2	10	60	0.02	3
